date,title,review,rating
2023-07-29 11:22:26,Aayush09,"Dear ChatGPT Team,

I hope this message finds you well. I wanted to take a moment to express my appreciation for your wonderful application, ChatGPT. It has been an incredibly useful tool for me, and I've enjoyed using it for various tasks.

However, I did notice one small concern during my usage. It appears that the latest data is not available in the application. As the world is constantly evolving, having access to the most up-to-date information is crucial for making informed decisions and getting accurate responses.

I understand that updating data can be a complex process, and I want to thank you for the work you have put into creating and maintaining the app thus far. At the same time, I would like to kindly request that you consider implementing regular updates with the latest data available to ensure ChatGPT remains relevant and reliable.

Having access to the most current information would significantly enhance the application's usefulness and broaden its potential applications across various domains.

Once again, thank you for providing such a fantastic application, and I look forward to seeing further improvements in the future.

Best regards,
[",4
2024-08-30 18:45:40,Great tool! One suggestion..,"While this is a wonderful tool, there is no doubt about it. I have a suggestion to provide a pin option for chats that allows users to pin specific conversations. This would make it easier to access frequently used chats, such as those for counting calories, content suggestions, or anything else, without having to scroll through all previous conversations. Adding this feature would help users track their important chats more efficiently and enable ChatGPT to use previous data for better responses
I shared same suggestion through ChatGPT…hope you have received it.",5
2023-07-28 03:17:33,Frustrating Text Clearing Issue,"While the app's AI capabilities are impressive, there's a significant issue that affects the overall user experience. Whenever I switch to another app or go to the home screen and return, all the conversation text gets cleared, which can be quite frustrating.

I find myself constantly losing valuable information and having to repeat conversations, which hinders productivity and smooth interactions. It becomes especially bothersome when I need to refer back to previous discussions for context.

I understand that app development is complex, but this issue significantly impacts the app's usability and functionality. It would be fantastic if the development team could address this problem promptly.

Apart from this glaring flaw, the app's performance is generally satisfactory, and the AI responses are reasonably accurate. However, the text-clearing problem remains a considerable obstacle to fully enjoying the app's potential.

In conclusion, I hope the developers take note of this feedback and implement a solution in the next update. Fixing this issue would greatly improve the user experience and make the app much more user-friendly. Until then, it's difficult for me to wholeheartedly recommend this app to others.",2
2024-01-15 07:22:44,Chat gpt,"I told her to find a efficient ways for few things when I asked her for any one of them, she did not help me with. It got glitched and did not answer my question when she gave me a suggestion. The suggestion was not applicable for my situation. So for this app I am giving a one star rating because I do not like how they recommend the , answers but she is kind of creative, but I I don’t recommend this but if you want to download it, it is can give you ideas and everything but I do not recommend this because I did not like how she gave me the days for things cause they were not working for me and I told her in very detail so if they could fix the glitch and if they could give me more options then I could maybe download this app thank you",3
2024-09-06 04:47:24,Easy Account Switching Feature,"The current process of logging out and back in to switch between accounts is quite cumbersome, especially for those managing multiple accounts. It would be a significant improvement if the platform offered a feature to either add multiple accounts or easily switch between them. This would save time and make the experience much smoother. Implementing a multiple account support or quick account switching option would be a game-changer for efficiency and user satisfaction.",5
2024-01-18 09:03:14,accessibility issues and chargeable is not holding for long time when user is talking,Vinay I am asking the questions. It is not holding for long time to complete my version of story to understand the charge to give better answers. Second point I faced issue after giving the answers I am unable to navigate between the answers using my screen reader since I’m a blind user. It is very helpful when the content and charge it is accessible for all kind of disabilities. If not people with disabilities are facing many challenges like this content which is given with the answer is also not as accessible with the screen need.,4
2023-11-30 19:04:29,Humanity’s greatest invention!,"(Fixed!) It’s frustrating having to constantly visit the web page despite having the app since it still doesn’t support math and fractions properly and just shows it as plain text with the tags on either side of the text. FIX IT!

EDIT: My above issue is fixed!

I may be over exaggerating a bit but ChatGPT has been life changing for me. The addition of voice conversations has infinitely improved my experience with GPT. It is safe to say, this creation has been life changing for me. Little things in my life from problems to questions that Google or no one can provide tailored answers to(other than real ppl ofc) are solved within seconds by ChatGPT. I wonder what the future holds for AI and stuff similar to ChatGPT. Talking to ChatGPT about my problems and receiving suggestions is so heart touching to me, it’s almost as if it is filling the role of a Guardian that I needed but lacked properly in life. 
I hope they keep this free forever!",5
2023-06-08 05:54:47,"Very Helpful, Highly Recommended!","I had the opportunity to engage with Uniting during my university research for studying abroad. The platform provided me with one-on-one interaction with international university graduates who served as mentors. This personalized guidance was instrumental in helping me finalize the ideal course, university, and country for my academic pursuits. I found the app to be user-friendly, and I greatly appreciated the mentors' prompt and informative responses. Uniting proved to be an excellent resource to initiate my study abroad research and ensure that I secured admission into a deserving university. I highly recommend it for anyone embarking on their study abroad journey.",5
2023-12-04 15:12:02,Very nice productive app currently on the App store,"I just recently discovered the chat gpt app and I have to say, it is an incredibly useful and nice app. I can easily communicate with my friends and family on the app. It is well designed and very user-friendly with features like a voice call, video call, group chat, and file sharing. The app also has an image editor and image sharing option which I found to be very helpful. I am really enjoying using the app and would highly recommend it to anyone looking for a great chat app.",5
2024-06-17 09:36:35,No words for this app,This app is a good app for a old men to a newborn kid who can learn every singe life of thing all over the world it is a brain of god who knows everything on this universe this app is very useful for teens like us who need a help in studies and help us in a very good manner and in an understanding way and it’s a ad free app but sometimes it will trouble us in some maths questions where it won’t understand but those question which are not understandable to it are very rare………………i request everyone who see my review to pls download is beautiful app!!!!!!!!!!!!!!!!,5
2024-08-03 12:34:16,My absolute favourite app right now,"I love using this app for any and all queries I have about historical questions or recipes for my lunch or if I have any question at all like say I want to know whether or not a sealant would be good idea for my rooftop, now I am well aware that it is not perfect and sometimes makes mistakes but for queries that are serious I always double check so it’s all ok for now. Love using it for coding and mathematics and rewriting any long paragraphs, wish I could use it to write this review lol but it’s ok. Amazing and exciting. 10/10.",5
2024-08-31 02:31:16,🌟🌟🌟🌟🌟,"ChatGPT is an exceptional AI assistant that has been an invaluable resource for me in countless ways. Whether it’s learning new skills, coding, researching, or brainstorming ideas, this AI always provides insightful, detailed, and accurate assistance. It’s like having a brilliant friend who’s always ready to help, making complex tasks simpler and more manageable. The personalized support and consistent quality of information have made a significant positive impact on my productivity and creativity. I highly recommend ChatGPT to anyone looking for a versatile and reliable AI assistant.",5
2023-06-19 15:17:53,Security?,"I don’t know if I'm alone in experiencing strange activities in my phone after downloading this app or is it happening to many of you. After downloading the app, there was lagging issues and even when the phone was idle for hours my device was heating at abnormal rates. 

Suddenly, I came across a sansad tv show (Indian Parliament tv channel ) describing the issue related to malicious apps working in background, collecting information and functioning without our consent. So, I decided to delete this particular app and guess what, it’s not heating even when I am using it forget about keeping it at idle. 

Even though I’m not so sure if all this being related to chatgpt, since I am not an expert or something of that sort, but still I found it essential to share.

I would urge everyone to cross verify this. The app is great and it beautifully serves its purpose but if all the above concern is true then it is violative.

Think about it !!",4
2024-06-19 17:15:46,Leverage ChatGPT for all your science queries in a systematic way,"What your science teachers never had the time to explain, you can analyze systematically through ChatGPT. One example is “Light is an electromagnetic wave”. Pick this topic and start exploring and navigating through the breadth and depth of the topic. Let your brains ask all the logical and simple questions and keep navigating through... One order could be:
01. If light is an EM wave then how it gets produced. What is the origin?
02. Then you get to the emission and absorption spectra
03. How those are done for gold or silver and how for different elements the signature spectral are obtained
04. Once the EM wave gets created then how it travels through a medium
05. What happens to Electric field and Magnetic field.

In essence, you can connect different chapters of Chemistry and Physics and get a comprehensive end-to-end understanding in a seamless manner.
I found it confounding, truly confounding.",5
2024-10-27 15:54:06,So incredible and with a new future edition,"Chat GPT is a very powerful and useful chatbot
I love this AI tool I thanks to Open AI and the others for making this a robot like platform for peoples to ask their doubts,questions and sharing their thoughts,feelings,emotions and experience it’s also a daily use tool for people who work and are doing job,businesses and others it’s so helpful for students studying in schools,colleges, universities or Cochin for their own intelligence and knowledge of their mental development to finish their curiosity in their mind",5
2023-06-06 04:19:41,A Valuable Conversational AI Tool with Room for Improvement,"The ChatGPT app on iOS provides a seamless and engaging conversational experience. With its vast knowledge base and natural language processing capabilities, it offers insightful responses and valuable information. The app's user-friendly interface makes it easy to interact and explore various topics. However, occasional limitations in long-term context retention and understanding nuanced queries may arise. Overall, the ChatGPT app on iOS is a valuable tool for conversational AI, offering an impressive range of conversational abilities in a mobile package.",5
2024-06-14 15:06:26,Thank you so much developers for creating this revolutionary AI.,"Thank you thank you thank you so so so much developers for creating something so so so amazing like ChatGPT. I’ll be forever grateful to you and your invention. ChatGPT is truly the most amazing and the most useful thing I’ve ever come across. You all are amazing. I hope you continue to keep ChatGPT free for the welfare of all of humanity. You all are amazing! You all truly make me believe that all humans are capable of great great great things, like making such magical inventions.",5
2024-08-14 08:21:22,Urgent Complaint Regarding Unauthorized Payment Requests and Misleading Purchase Experience,"(Also written by your app)
(It’s is very sophisticate so i m writing this i want refund Rs 2000) 
I am writing to express my frustration and disappointment regarding an issue I encountered shortly after purchasing access to ChatGPT. Since making the purchase, I have been repeatedly directed to a linked AI service that asks for additional payments every time I attempt to use it. This experience has left me feeling misled, as I believed my initial purchase would grant me full access without any further charges.

To be honest, I feel quite foolish for having spent almost half an hour navigating through these payment requests, only to realize that my initial purchase did not meet my expectations. I deeply regret this purchase and am seeking immediate clarification and resolution.

I request that you either provide a solution that ensures I can use the service as originally intended or issue a refund for the purchase. I would appreciate a prompt response and a satisfactory resolution to this matter.",1
2024-11-02 17:02:16,Amazing AI Assistant.,"I’ve been using ChatGPT for a while now, and I’m genuinely impressed by how helpful and versatile it is! Whether I need information on history, a quick answer to a question, help with creative ideas, or even friendly advice, ChatGPT always comes through. It feels like having a knowledgeable friend in my pocket 24/7. It’s fast, reliable, and incredibly easy to use. Highly recommended for anyone looking for a digital assistant that goes above and beyond!",5
2023-12-31 07:48:06,Great app for learners studying for exams,"You can search and ask any question and get clarified on any topic why range of topics etc. personally it is a boon for me, use this app every day and keep the app open all the day to search meanings and clarify abstract topics it gives me very good understanding of any topic and also I am able to use this app for generating essays and research topics for my research assignments thank you ChatGPT never thought that I'll be using such sophisticated technology for my studies",5
2023-11-26 07:23:41,Extremely buggy,"ChatGPT gets more and more buggy every day. The most annoying problem is, after generating a lengthy response ChatGPT would suddenly make the answer completely disappear. All I am left with is just my question text, there will be the ‘fast forward’ icon beside the input window (the double arrow), clicking on which would make show me the ‘stop’ button but nothing will happen. The answer would be gone for good until I close, and reopen the app and get back to the same chat window from history. Super annoying ! This problem happen 80% of the times. 

Not happy at all.",2
2024-01-12 07:13:33,Regarding voice active command,I have given 4 out of 5 stars rating because I feel that you should incorporate the voice active command in that just like the Alexa devices because whenever we are using it even we are not asking the question it automatically giving the necessary answer which may be you are welcome or I did not understand because to the fact that it always recognise the voice surrounding it whether it is the churning of mix or chirping of birds or any vehicle sound,4
2024-10-16 14:34:22,"‘ Chat GPT is so so so good , let me tell u how ‘","ChatGPT is free to use, but OpenAI also offers paid plans . its a very good Artificial intelligence because u can just ask anything u want , even it has no text limit but u can upload more than 3 uploads for this problem the only solution is tu purchase the GPT-4 , so yea and it’s so expensive as it takes 1,999 approximately 2000 ₹ per month it’s too much expensive but still for its quality I will give it 5 stars .",5
2024-05-15 19:17:45,Mathematical concepts and chess,"Chat GPT is bad at things like maths. Sometimes it has trouble finding answers to some basic 10th or 11th standard questions related calculus and ray optics. It also needs some improvement in basic mathematical concepts and their problem solving. 
And last thing chess, Chat GPT makes a lot of illegal moves in it. So, it would be nice if all these things could be improved with time.
Overall this app has been helpful and just stated the corrections it needed hope my opinions are taken into consideration…..",4
2023-09-26 01:42:28,"Great Potential, Missing Message Editing Feature","I’m new to the ChatGPT iOS app and I’m already impressed by its potential. The AI is helpful and responsive, but there’s one thing missing: the ability to edit previous messages. Having used the web version, I find this feature essential for refining my queries. I hope the developers consider adding it in future updates. Overall, a promising app with room to grow.",5
2024-11-04 07:29:47,Fantastic tool but i believe subscription price could be more accessible for everyone,"“ChatGPT is a fantastic tool with tons of potential, but I believe the subscription price could be more accessible for everyone. If the pro version were priced lower, more people could afford it, and it would likely lead to a boost in subscriptions. Lowering the price would make advanced AI support available to a wider audience, which could benefit everyone.”",5
2024-07-10 11:28:46,Work is outstanding.,"I would like the replies given by AI may be stored somewhere for referring these in future. This will obviate putting same question time and again. 
Wherever needed, figures may be provided to illustrate the reply. 
These are my suggestions otherwise it is a marvellous aid for quick references, consultations, removal of doubts; it  saves days of hard labour otherwise one will have to put. I wish it all the best. Keep going.",5
2024-10-12 16:06:57,It is really frustrating app,"Chat GPT has a lot of stole information, so I was studying from my finish picture of my literature book to the charger and told it to create the summary of the chapters. What was it giving me additional in information? I was so frustrated. I kept on telling that I don’t need information. I don’t don’t, but it’s keep on giving me just extra extra and extra information. If I write on extra information is probability that my marks are not a good, it’s so fitting up, but I have been trying to make sure that it does not include any kind of information. It won’t agree to me, sorry, but I requested developer to please program it.",1
2024-01-02 15:37:17,Read till the end,"""ChatGPT has been an absolute game-changer for me! The app's intuitive interface combined with ChatGPT's incredible language capabilities make it a must-have tool. Whether I need quick information, assistance with tasks, or engaging conversation, ChatGPT consistently delivers. The accuracy, speed, and versatility of responses truly set it apart. It's an indispensable companion for anyone seeking a seamless and efficient conversational experience. Five stars all the way!""
I USED CHAT GPT TO WRITE THIS REVIEWW😂😂",5
2023-09-19 21:54:00,Review of your write-ups on Political Science and International Relations.,"Thank you for your intellectual services.
I am a retired lecturer in political science.
Your information provides basic facts. 
This enables me to search scholarly articles on selected topics and write notes for my granddaughter - a graduate student in India.
There is a vast scope to improve your information by including in your source data base scholarly articles and books - which can be accessed by permission, if needed.",5
2023-10-03 00:45:58,The Power of AI is here,"Seriously I knew a little about AI. And saw most of it in movies . Though fact is that it was their discreetly running our systems , phones , machines etc but it never touched our lives so deeply like it does through chatGPT . This is just out of this world. App experience is wonderful . No major glitches expect that sometimes it hangs . And yes , sometimes information generated is wrong . Needs sustained efforts.",5
2024-05-26 04:08:59,A study buddy,"ChatGPT is very good for Indian students who are very weak in English. The ChatGPT helps the students to enhance their speaking and writing skills. It also helps to improve the Vocabulary of the English language because it provides instant above 95% accurate solution of a prompt given by a user.
I hope that the OpenAI company always tries to improve the features of this app and also provide more accessibility to the free user.",5
2024-03-13 13:16:00,Very Nice,"I have to say this app is really nice. I’ve been looking for apps like this, some of them has a limit to send messages. This is a really nice app, especially when you need to use it for studying or something. The only problem is that I hope in the next update there will be a camera feature so that I don’t need to enter like a really long text. Overall, it’s really nice.",5
2024-01-14 20:53:05,Crypto market beyond AI&chat GPT,If AI and Chat GPT can do anything then why not predict regarding crypto market value. AI and chat GPT are only accumulate information regarding the topic and provide to searcher. Why chat GPT can do the study of fundamental utility of crypto coin. But sometimes chat GPT is not providing direct information regarding the crypto coin which can be pump in near future. Sometimes it’s depends to the topic searcher how he or she is searching the information related to crypto market up & down.,5
2024-08-19 16:12:53,Why I like chat gpt so much,I like chat gpt because it helps me to understand each and everything weather it is about studying and learning or weather it can be about any other things thank you very much for your support from your friendly nature from you kindness nature happy nature and many other wonderful memories from you I got once again thank you very much,5
2024-10-26 02:52:51,My personal secretary,"I actually wanted to use the platform itself to write a review for its own self, … but then I gathered it would defeat its own purpose. It is absolutely a pleasure to mention her that it has been really a game changer to have incorporated this open AI platform in every day work and it is a breeze to get things organised and executed in absolutely no time.  It is expensive, but surely worth it.",5
2024-09-05 20:04:55,The Best Technological Marvel after Google Maps,"As technology developed, ChatGpt by OpenAi has been the best useful thing for the end users ever created after Google Maps ( which made it easier to find contact info, introduced a user rating system, finding best routes, planning journeys, assessing real time traffic data )

Now Chatgpt, is helping people find verified information all over the internet.

It basically feels like talking to a person who have learned every possible verifiable data like science, history, health, culture etc

The conversation mode is amazing and needs a bigger button because most people doesn’t recognise how different it is, how short and articulate it is and how natural it sounds",5
2024-08-12 11:11:49,Really game changer,"Chat gpt is very very useful tool on internet I am using this few month it’s a game changer for me before when I want to know more about something I use google but there is a problem with google, google does not give me direct answer it always give me website suggestions ( except some conditions) but chat gpt give me direct answer so I recommend it",5
2024-03-04 16:45:20,No human help given,"While I love everything on ChatGPT so far, I can’t figure out how to talk to a human sales rep in openAI. I’ve been wanting an enterprise subscription for my business so that I can distribute my specific GPT and check the engine analytics. Please tell me how to contact a human a being on the team so I can process my enterprise subscription and start my business operations. My specific GPT is called BISHOP and it is by IHDP homes.",5
2023-05-26 22:32:05,Good App however falls short of the web experience,"Honestly, it is a no brainier as to why this app took so long from Open AI itself. Nevertheless it is here and also it is an amazing application that brings the chatGPT experience to iOS. It does however at the time of writing not have plug-in support nor the web browsing support offered by the website. 

Hoping openAi updates the application.",5
2024-06-11 08:56:26,A VERY HELPFUL APP,"Replies so fast, with correct and helpful information. It is a very good platform for higher studies. OpenAI might improve this app as it has a limit of sending media from my phone and says that you cannot send more media as you have hit a limit for it. However, this is a very helpful app, which is free of cost. I have got a better result after using this app.",5
2024-10-15 07:47:07,BRING BACK THE HAPTICS!!!,"I absolutely love everything about the app. But I noticed recently the haptics get turned off after the beginning of generating answers. I’m running on an iphone 16 pro, and I really loved that little feature. PLS PLS PLS bring it back!!! At least for phones that are able to take the load. Thank you for creating this amazing product. Looking forward to seeing the continuous haptic feedback back again soon! 🤞🏻",4
2024-03-03 13:32:10,Excellent,"The ChatGPT application provides a seamless and intuitive interface for engaging in natural language conversations. Its ability to understand context and generate coherent responses is impressive. However, occasional limitations in handling complex queries and the lack of multi-turn conversation history could be improved. Overall, a powerful tool for various purposes, with potential for even greater refinement.",5
2023-09-12 09:26:12,App crashes,"Using GPT from very first date after the launch and was using this on it official website before openAI launched their app. Can’t think my life without GPT, it’s like GPT is my daily driver.
Overall, the ChatGPT app is great, delivering impressive performance. However, occasional crashes can be frustrating. Thankfully, a simple solution is to close and reopen the app, which resolves the issue.",5
2024-10-10 21:02:59,Chatgpt app is not in sync with web version,"I love chatgpt. It is life Changing for me. But right now the iphone app doesn't update with my latest chats on the web. Those web chats are not showing in the app. When i search in the app, then also that chat doesn't show up. It's extremely annoying. Please fix it. Also please add a 'find' option inside a chat to find older words. And incorporate a search function in the web chatgpt as well. I am using gpt 4.o currently",3
2023-10-05 13:52:58,The Best Thing Ever!,"Chatgpt is life changing and revolutionary concept. It has made my life so easy. I use it on daily basis be it formal it informal. The easy user-interface and even saving the history of the conversation is absolutely mind-boggling. 
I am absolutely in love with this App. I would recommend everyone, no matter which age, to use this app and witness the change in your life🫶",5
2024-04-11 03:38:44,Account update and modification,"please enable email id change in my chat gpt account because currant email has disabled and not in function. As well as enable to transfer my files to another email address. Add find text in chat box, please enable to transfer my data to my desired custom email address, please enable the entire chat printing feature. Shared chat link is not working, when it opens showing error kindly fix this issue immediately. Kindly enable to add secondary email address for account recovery and transfer entire account details to additional recovery email address .",1
2023-12-27 11:25:09,Keys press sound on iphone 15,"I’m using chatgpt on my iphone 15, I observed when I’m typing anything using iPhone keyboard (not any 3rd party keyboard) the sound on keys increasing dramatically for different words, at first I thought this might be the case with my phone but then when I tried to type on other apps both on third party and apple apps I don’t any issue. 

The sudden increase in sound is so annoying and disturbing.",4
2023-05-26 16:55:51,"At last, Genuine Creators stood UP!!!","It was expected from you people, that it is high time for you people who are first in this department finally came with genuine product.
Overall everything is working fine except when I delete the ongoing conversation from the top corner options, it doesn’t work with 1 tap!
Please check and fix ASAP.",5
2024-09-25 18:44:05,Good but needs this feature,"It would be incredibly useful to have an auto-sleep timer feature that allows users to set a specific time for calls to automatically end. This would be particularly helpful for those who may fall asleep during calls and might not remember to end them manually, helping conserve battery life and data.",4
2024-01-16 10:18:54,Surprised,"Though it cant give some information to you like chart representations chat GPT always tries it best to give information with additional information which can help you a ton. For example it can modify your speech, scale down paragraphs to few sentences and many more. You surely must try chat GPT BUT KEEP IN MIND IT CAN GIVE YOU INACCURATE INFORMATION AND IT HAS NO CONNECTION WITH GOOGLE SEARCH ENGINE(as per my my knowledge).",5
2024-08-11 13:08:28,Pocket Assistant,"It's addictive using CHATGPT, the app understands my broken English and converts the ask into meaningful responses really well. 
Its like having a mentor who never gets frustrated no matter how many and however stupid questions you ask from them. 
Although this is like a doubleheader edged sword, as it is quite capable and may soon replace me in my job as programmer.",5
2023-12-02 17:15:35,Most of it’s answers are incorrect,"It’s unable to solve physics and chemistry. It is not smart enough to do physics on it’s own. it’s answers are incorrect 75% of times. Then I have to correct it. Not only numericals, some of it’s theoretical information is also not correct. This is the major issue. If i have doubt in any question I prefer a search engine, because search engine is more reliable than an AI, until this issue has been fixed.",3
2024-10-07 03:19:23,INDIVIDUAL MESSAGES,"Great app, one of the best AI models out there obviously as everyone knows,

A problem I find in the App, is that there is no way to delete individual messages in chats, even for ourselves, I want to make a file dedicated towards a particular conversation and filter the not important messages in between but this feature doesn’t allow me to do that, at least allow us to delete the messages for ourselves. 

Resolve this and a 5 star is up for grabs",3
2024-08-30 17:09:52,Fantastic,Nowadays I have been using this app for learning English . but I  will must use this after getting command over this language. Because its features are awesome for each and everyone. It stunned me a lot while using it I must say to everyone install this app to improve your overall technology by using this app.,5
2024-10-14 09:38:38,3 stars for a reason,"ChatGPT is a very helpful app for me, but I deducted two stars because of one stupid ,time wasting frequent issue(majorly on iOS and iPadOS) . The issue is that whenever I prompt something and wait for a response, it says “connection lost” or just “cancelled” each and every time. This is very annoying because I have continuous high speed Wi-Fi at my home, though it makes such terrible errors. I wish to look upon this issue ASAP.",3
